DISTRITO;TIPO_DE_DENUNCIA;SITUACION_DENUNCIA;TIPO;SUBTIPO;MODALIDAD;FECHA_HECHO;DIASEM_HECHO;MES_HECHO;PERIODO_HECHO;HORA_HECHO;DESCRIPCION;EDAD_PERSONA;SEXO;ESTADO_CIVIL;GRADO_INSTRUCCION;OCUPACION;PAIS_NATAL;LONGITUD;LATITUD
CALLAO;DENUNCIA;PENDIENTE;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;26/02/2024;2;2;2024;20;BOCANEGRA;33;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.11578200;-12.00502809
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;21/02/2024;4;2;2024;14;PACHACUTEC;39;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.15457110;-11.84402690
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;10/02/2024;7;2;2024;2;RAMON CASTILLA;30;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.12611305;-12.05116387
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;20/02/2024;3;2;2024;8;CALLAO;38;MASCULINO;SOLTERO(A);NO INDICA;VIGILANTE;PERU;-77.12948321;-11.95101866
CALLAO;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);ROBO;ROBO AGRAVADO;23/02/2024;6;2;2024;16;BOCANEGRA;28;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.12538349;-12.05116387
CALLAO;ACTA DE INTERVENCION;RESUELTA;PATRIMONIO (DELITO);HURTO;HURTO AGRAVADO EN CASA HABITADA;24/02/2024;7;2;2024;19;BOCANEGRA;38;MASCULINO;SOLTERO(A);NO INDICA;OBRERO;PERU;-77.08979950;-12.01353140
CALLAO;ACTA DE INTERVENCION;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA FISICA;04/02/2024;1;2;2024;21;DULANTO;31;FEMENINO;SOLTERO(A);SECUNDARIA;NO INDICA;PERU;-77.10716550;-12.04327590
CALLAO;DENUNCIA;PENDIENTE;PATRIMONIO (DELITO);HURTO;HURTO;13/02/2024;3;2;2024;9;JUAN INGUNZA VALDIVIA;53;MASCULINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.12673532;-12.05105895
CALLAO;DENUNCIA;PENDIENTE;PATRIMONIO (DELITO);HURTO;HURTO DE VEHICULO;05/02/2024;2;2;2024;5;JUAN INGUNZA VALDIVIA;41;MASCULINO;SOLTERO(A);NO INDICA;CHOFER;PERU;-77.09313900;-12.01080320
CALLAO;OCURRENCIA;PENDIENTE;PATRIMONIO (DELITO);HURTO;HURTO DE VEHICULO;05/02/2024;2;2;2024;5;JUAN INGUNZA VALDIVIA;41;MASCULINO;SOLTERO(A);NO INDICA;CHOFER;PERU;-77.09313900;-12.01080320
CALLAO;DENUNCIA;RESUELTA;LEY DE VIOLENCIA CONTRA LA MUJER Y GRUPOS VULNERABLES;LEY PARA PREVENIR   SANCIONAR Y ERRADICAR LA VIOLENCIA CONTRA LAS MUJERES Y LOS INTEGRANTES DEL GRUPO FAMILIAR (LEY NRO 30364);VIOLENCIA PSICOLOGICA;20/02/2024;3;2;2024;20;DULANTO;3;MASCULINO;NO INDICA;NO INDICA;NO INDICA;PERU;-77.12385999;-12.05053433
CALLAO;DENUNCIA;RESUELTA;PATRIMONIO (DELITO);HURTO;HURTO DE VEHICULO;07/02/2024;4;2;2024;15;LA PUNTA;56;FEMENINO;SOLTERO(A);NO INDICA;NO INDICA;PERU;-77.15354800;-12.06426730
